119735,Kotak Mahindra Asset Management Company Limited,Kotak Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,119735,Medium to Long Duration Fund,INF174K01JC0
120264,LIC Mutual Fund Asset Management Limited,LIC MF Multicap Fund,Direct,Growth,Open Ended,Equity Scheme,Multi Cap Fund,120264,Multi Cap Fund,INF767K01EG3
120279,LIC Mutual Fund Asset Management Limited,LIC MF Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,120279,Medium to Long Duration Fund,INF767K01EW0
120282,LIC Mutual Fund Asset Management Limited,LIC MF Government Securities Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,120282,Gilt Fund,INF767K01EZ3
120261,LIC Mutual Fund Asset Management Limited,LIC MF Equity Hybrid Fund,Direct,Growth,Open Ended,Hybrid Scheme,Aggressive Hybrid Fund,120261,Aggressive Hybrid Fund,INF767K01ED0
120267,LIC Mutual Fund Asset Management Limited,LIC MF Large Cap Fund,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,120267,Large Cap Fund,INF767K01EJ7
120596,ICICI Prudential Asset Management Company Limited,ICICI Prudential Large & Mid Cap Fund,Direct,Growth,Open Ended,Equity Scheme,Large & Mid Cap Fund,120596,Large & Mid Cap Fund,INF109K011O5
120587,ICICI Prudential Asset Management Company Limited,ICICI Prudential FMCG Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120587,Sectoral/ Thematic,INF109K01Z14
120592,ICICI Prudential Asset Management Company Limited,ICICI Prudential Long Term Equity Fund (Tax Saving),Direct,Growth,Open Ended,Equity Scheme,ELSS,120592,ELSS,INF109K01Y31
120251,ICICI Prudential Asset Management Company Limited,ICICI Prudential Equity & Debt Fund,Direct,Growth,Open Ended,Hybrid Scheme,Aggressive Hybrid Fund,120251,Aggressive Hybrid Fund,INF109K01Y07
120594,ICICI Prudential Asset Management Company Limited,ICICI Prudential Technology Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,120594,Sectoral/ Thematic,INF109K01Z48
120743,ICICI Prudential Asset Management Company Limited,ICICI Prudential Long Term Bond Fund,Direct,Growth,Open Ended,Debt Scheme,Long Duration Fund,120743,Long Duration Fund,INF109K017L8
120590,ICICI Prudential Asset Management Company Limited,ICICI Prudential Gilt Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,120590,Gilt Fund,INF109K018C5
120608,ICICI Prudential Asset Management Company Limited,ICICI Prudential Gilt Fund,Direct,Growth,Open Ended,Debt Scheme,Gilt Fund,120608,Gilt Fund,INF109K014D2
118665,Nippon Life India Asset Management Limited,Nippon India Growth Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,118665,Mid Cap Fund,INF204K01E21
118666,Nippon Life India Asset Management Limited,Nippon India Growth Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,118666,Mid Cap Fund,INF204K01E39INF204K01E47
